date,product_id,quantity
2026-08-01,P001,5
2026-08-02,P001,4
2026-08-03,P001,6
2026-08-04,P001,5
2026-08-05,P001,4
2026-08-06,P001,5
2026-08-07,P001,6
2026-08-08,P002,2
2026-08-09,P002,3
2026-08-10,P002,4
2026-08-11,P002,3
2026-08-12,P002,5
2026-08-13,P003,8
2026-08-14,P003,7
2026-08-15,P003,9
2026-08-16,P003,6
2026-08-17,P003,8
2026-08-18,P004,2
2026-08-19,P004,1
2026-08-20,P004,3
2026-08-21,P004,2
2026-08-22,P005,5
2026-08-23,P005,4
2026-08-24,P005,6
2026-08-25,P005,5
2026-08-26,P006,2
2026-08-27,P006,3
2026-08-28,P006,2
2026-08-29,P006,4
2026-08-30,P007,1
2026-08-31,P007,2
2026-08-01,P008,4
2026-08-02,P008,5
2026-08-03,P008,4
2026-08-04,P009,2
2026-08-05,P009,3
2026-08-06,P009,2
2026-08-07,P010,6
2026-08-08,P010,5
2026-08-09,P010,7
